SCHOOL_CODE,SCHOOL_NAME_1,SCHOOL_NAME_2
1020,WEST PHILADELPHIA HIGH SCHOOL,WEST PHILADELPHIA HIGH SCHOOL
2410,GIRARD ACADEMIC MUSIC PROGRAM,GIRARD ACADEMIC MUSIC PROGRAM
1010,JOHN BARTRAM HIGH SCHOOL,"BARTRAM, JOHN HIGH"
7370,GROVER WASHINGTON JR. MIDDLE,"WASHINGTON, GROVER JR. MIDDLE"
1080,UNIVERSITY CITY HIGH SCHOOL,UNIVERSITY CITY HIGH SCHOOL
1100,SAYRE HIGH SCHOOL,"SAYRE, WILLIAM L. HIGH SCHOOL"
1110,SHAW MIDDLE SCHOOL,"SHAW, ANNA H. MIDDLE SCH"
1130,TILDEN MIDDLE SCHOOL,TILDEN MIDDLE SCHOOL
1150,GEORGE PEPPER MIDDLE SCHOOL,"PEPPER, GEORGE MIDDLE SCHOOL"
1200,JOHN BARRY ELEMENTARY SCHOOL,"BARRY, JOHN ELEMENTARY SCHOOL"
1440,PENROSE SCHOOL,PENROSE SCHOOL
1460,ADD B ANDERSON SCHOOL,"ANDERSON, ADD B. SCHOOL"
1470,ALAIN LOCKE SCHOOL,"LOCKE, ALAIN SCHOOL"
1490,BLANKENBURG SCHOOL,"BLANKENBURG, RUDOLPH SCHOOL"
1530,JOSEPH LEIDY SCHOOL,"LEIDY, JOSEPH SCHOOL"
1580,MIDDLE YEARS ALTERNATIVE-MYA,MYA-MIDDLE YEARS ALTERNATIVE
1230,BRYANT ACADEMICS PLUS SCHOOL,"BRYANT, WILLIAM C. SCHOOL"
1250,J. W. CATHARINE SCHOOL,"CATHARINE, JOSEPH SCHOOL"
1260,B. B. COMEGYS SCHOOL,"COMEGYS, BENJAMIN B. SCHOOL"
7130,WAGNER MIDDLE SCHOOL,"WAGNER, GEN. LOUIS MIDDLE SCH."
1300,A. D. HARRINGTON SCHOOL,"HARRINGTON, AVERY D. SCHOOL"
1330,SAMUEL B HUEY SCHOOL,"HUEY, SAMUEL B. SCHOOL"
1340,HENRY C. LEA SCHOOL,"LEA, HENRY C."
1350,W C LONGSTRETH SCHOOL,"LONGSTRETH, WILLIAM C. SCHOOL"
